,text,url,price,cpu_name,cpu_gen,cpu_brand,discount_value,store
35,Lenovo Ideapad Gaming 3 Laptop 15IMH05 - Intel Core I7 - 16GB RAM - 1TB HDD + 256GB SSD - 4G GPU - 15.6-inch FHD - Windows 10 - Onyx Black,https://www.jumia.com.eg/ideapad-gaming-3-laptop-15imh05-intel-core-i7-16gb-ram-1tb-hdd-256gb-ssd-4g-gpu-15.6-inch-fhd-windows-10-onyx-black-lenovo-mpg773003.html,1050,I7,7,Intel,8,Jumia (EG)
36,DELL G5 15-5500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD 120Hz - GTX 1660Ti 6GB GDDR6 -Ubuntu - Black,https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-120hz-gtx-1660ti-6gb-gddr6-ubuntu-black-dell-mpg769830.html,1230,I7,7,Intel,11,Jumia (EG)
37,DELL G5 15-5500 Gaming Laptop - Intel Core I5-10300H - 8GB RAM -1TB+ 256GB SSD - 15.6-inch FHD – 4GB GTX 1650 GPU - Black,https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i5-10300h-8gb-ram-1tb-256gb-ssd-15.6-inch-fhd-4gb-gtx-1650-gpu-black-21176258.html,930,I5,5,Intel,18,Jumia (EG)
38,Asus TUF FX506LI-HN138T Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB HDD + 512GB SSD - 15.6 FHD 144Hz Display - 4GB GPU - Windows 10 - Grey Metal,https://www.jumia.com.eg/asus-tuf-fx506li-hn138t-gaming-laptop-intel-core-i7-16gb-ram-1tb-hdd-512gb-ssd-15.6-fhd-144hz-display-4gb-gpu-windows-10-grey-metal-21218277.html,1240,I7,7,Intel,14,Jumia (EG)
39,DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 4GB GPU - 15.6-inch FHD-dos - Black,https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-4gb-gpu-15.6-inch-fhd-dos-black-21213364.html,1011,I7,7,Intel,50,Jumia (EG)
40,Lenovo Legion 5-15IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - Windows 10-- Phantom Black (English & ARABIC Keyboard),https://www.jumia.com.eg/lenovo-legion-5-15imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-windows-10-phantom-black-english-arabic-keyboard-21284543.html,1191,I7,7,Intel,17,Jumia (EG)
42,DELL G5 15-5500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD - 6GB RTX 2060 GPU - Windows 10 - Black (English Keyboard),https://www.jumia.com.eg/g5-15-5500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-6gb-rtx-2060-gpu-windows-10-black-english-keyboard-dell-mpg769829.html,1488,I7,7,Intel,5,Jumia (EG)
43,Lenovo Legion Y540-15IRH Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB HDD + 256GB SSD - 15.6-inch FHD - 6GB GPU - DOS - Black,https://www.jumia.com.eg/legion-y540-15irh-gaming-laptop-intel-core-i7-16gb-ram-1tb-hdd-256gb-ssd-15.6-inch-fhd-6gb-gpu-dos-black-lenovo-mpg188463.html,1560,I7,7,Intel,4,Jumia (EG)
45,Asus ROG ZEPHYRUS M15 GU502LW Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 15.6-inch FHD - 8GB GPU - Windows 10 - Black (English Keyboard),https://www.jumia.com.eg/rog-zephyrus-m15-gu502lw-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-15.6-inch-fhd-8gb-gpu-windows-10-black-asus-mpg771772.html,1800,I7,7,Intel,25,Jumia (EG)
46,DELL G3 15-3500 Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 512GB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black,https://www.jumia.com.eg/g3-15-3500-gaming-laptop-intel-core-i7-10750h-16gb-ram-512gb-ssd-15.6-inch-fhd-6gb-gpu-windows-10-black-dell-mpg771822.html,1440,I7,7,Intel,20,Jumia (EG)
